地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,受僱人員報酬,本業薪資,兼業薪資,其他收入,產業主所得,財產所得收入,自用住宅設算租金收入,經常移轉收入,從私人,從政府,社會保險受益,從企業,從國外,雜項收入,非消費支出,利息支出,經常移轉支出,對私人,對政府,社會保險,對國外
總 平 均,9119999,2.79,2.46,1.34,1.8,1375097,758690,551521,48892,158278,158897,63903,78319,315252,71691,81178,158721,3282,380,35,238389,11955,226434,49152,36667,139410,1204
新 北 市,1655751,2.72,2.44,1.33,1.87,1440893,850967,666989,24188,159790,116243,62370,90258,321035,87314,69981,161476,2092,172,19,244983,11617,233366,56395,29844,147053,74
臺 北 市,1059757,2.68,2.46,1.27,1.95,1751823,1007958,731349,68831,207777,177973,140495,102626,322759,95092,65451,158590,2983,642,12,303605,13822,289782,78854,49721,159045,2162
桃 園 市,891027,3.03,2.6,1.44,1.9,1490814,865542,627600,50907,187035,162114,63625,109078,290443,51779,89419,145091,3233,921,13,267294,15521,251772,47729,37274,163810,2959
臺 中 市,1047164,2.83,2.46,1.38,1.79,1346521,681594,504239,47931,129423,185083,63094,87581,329162,90630,81697,151861,4182,792,6,229508,16622,212886,44048,32601,134192,2044
臺 南 市,721550,2.81,2.48,1.39,1.75,1177168,633494,441381,48547,143566,150945,36938,72682,283074,48529,82662,149435,2448,0,36,205982,9439,196543,33011,28875,133910,747
高 雄 市,1144005,2.78,2.45,1.35,1.78,1325786,707567,485954,66096,155518,172970,61728,64483,319001,65536,78669,168375,6106,314,36,234750,11970,222780,47576,39743,134587,875
宜 蘭 縣,177238,2.64,2.3,1.01,1.58,1114997,506515,354731,66115,85669,160529,29817,69647,348334,82997,81412,180755,3171,0,155,174649,6690,167959,44854,22126,100679,300
新 竹 縣,218361,3.01,2.44,1.38,1.74,1846263,1226318,785910,45142,395266,147346,120266,69810,282495,52887,97268,129622,1412,1308,27,417003,29369,387634,85496,111559,187132,3446
苗 栗 縣,198022,3.02,2.64,1.41,1.85,1341195,816540,587271,64435,164834,113933,41640,46501,322386,68603,87490,163702,2590,0,196,225883,5362,220521,41331,33546,141885,3759
彰 化 縣,404247,2.94,2.58,1.43,1.77,1164937,621728,472244,37736,111748,159511,29912,55303,298455,48722,88130,160762,842,0,27,197430,7976,189455,28035,29324,132044,51
南 投 縣,180196,2.78,2.52,1.49,1.76,1069123,474672,331916,64185,78571,192200,31489,44332,326423,48537,92106,181458,4322,0,7,150912,3616,147296,23028,21246,102944,78
雲 林 縣,246207,2.61,2.33,1.35,1.64,1087755,482661,366125,20241,96296,194812,17539,47322,345381,72576,99817,167465,4837,686,40,166845,3317,163528,34131,21181,107032,1184
嘉 義 縣,185790,2.55,2.3,1.16,1.56,936713,360251,266408,38690,55153,168515,31854,45646,330266,59974,109177,158275,2839,0,181,134031,2641,131389,24245,16706,89823,616
屏 東 縣,296396,2.73,2.38,1.39,1.7,1081286,524136,387848,49304,86984,161100,30573,39348,326075,60492,101936,159676,3971,0,54,171596,3959,167637,36854,20588,110142,53
臺 東 縣,84425,2.39,2.04,1.07,1.48,930467,416144,287300,63037,65808,175589,22979,32646,283054,46716,101115,132920,2303,0,55,140999,8904,132095,22874,17990,90853,379
花 蓮 縣,128496,2.36,2.09,1.05,1.51,1018629,479858,339999,63879,75979,148756,32302,65961,291702,52983,78963,157674,2082,0,49,150035,4181,145854,30576,18990,96284,5
澎 湖 縣,42807,2.42,2.13,0.93,1.53,1060432,502738,325778,87810,89150,139897,17371,55644,344560,39190,113114,185782,6475,0,222,159517,6067,153449,30667,17051,104196,1536
基 隆 市,158167,2.67,2.37,1.19,1.72,1136337,587907,451241,25936,110729,117046,22536,61720,347057,79872,79834,184958,2393,0,70,182220,6535,175685,40109,17801,117202,573
新 竹 市,177461,2.89,2.44,1.36,1.86,1851383,1206796,740995,56473,409328,182502,103572,61570,296931,59912,89529,145080,2409,0,11,400345,28459,371886,63975,128821,178839,252
嘉 義 市,102932,2.86,2.5,1.29,1.77,1348030,659307,465958,71430,121920,222049,48323,74958,343324,63422,76898,199268,3418,317,68,219437,7387,212050,52844,31591,127515,101
